"INCITS","County or equivalent","State or district","Pop Rank","2013 Pop","Core Based Statistical Area","Combined Statistical Area"
"34013","Essex County","New Jersey","75","789,565","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"34015","Gloucester County","New Jersey","229","290,265","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
"34017","Hudson County","New Jersey","94","660,282","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"34019","Hunterdon County","New Jersey","489","126,250","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"34021","Mercer County","New Jersey","182","370,414","Trenton, NJ Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"34023","Middlesex County","New Jersey","67","828,919","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"34025","Monmouth County","New Jersey","101","629,672","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"34027","Morris County","New Jersey","135","499,397","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"34029","Ocean County","New Jersey","109","583,414","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"34031","Passaic County","New Jersey","131","505,672","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"34033","Salem County","New Jersey","811","65,166","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","Philadelphia-Reading-Camden, PA-NJ-DE-MD Combined Statistical Area"
"34035","Somerset County","New Jersey","198","330,585","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"34037","Sussex County","New Jersey","439","145,992","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"34039","Union County","New Jersey","119","548,256","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"34041","Warren County","New Jersey","556","107,379","Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"35001","Bernalillo County","New Mexico","92","674,221","Albuquerque, NM Metropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
"35003","Catron County","New Mexico","2935","3,607","",""
"35005","Chaves County","New Mexico","802","65,823","Roswell, NM Micropolitan Statistical Area",""
"35006","Cibola County","New Mexico","1517","27,335","Grants, NM Micropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
"35007","Colfax County","New Mexico","2233","13,094","",""
"35009","Curry County","New Mexico","973","50,598","Clovis, NM Micropolitan Statistical Area","Clovis-Portales, NM Combined Statistical Area"
"35011","De Baca County","New Mexico","3062","1,907","",""
"35013","Doña Ana County","New Mexico","298","213,460","Las Cruces, NM Metropolitan Statistical Area","El Paso-Las Cruces, TX-NM Combined Statistical Area"
"35015","Eddy County","New Mexico","908","55,471","Carlsbad-Artesia, NM Micropolitan Statistical Area",""
"35017","Grant County","New Mexico","1443","29,328","Silver City, NM Micropolitan Statistical Area",""
"35019","Guadalupe County","New Mexico","2865","4,551","",""
"35021","Harding County","New Mexico","3129","693","",""
"35023","Hidalgo County","New Mexico","2858","4,654","",""
"35025","Lea County","New Mexico","780","68,062","Hobbs, NM Micropolitan Statistical Area",""
"35027","Lincoln County","New Mexico","1834","20,105","",""
"35028","Los Alamos County","New Mexico","1925","17,798","Los Alamos, NM Micropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
"35029","Luna County","New Mexico","1618","24,659","Deming, NM Micropolitan Statistical Area",""
"35031","McKinley County","New Mexico","742","73,308","Gallup, NM Micropolitan Statistical Area",""
"35033","Mora County","New Mexico","2857","4,704","",""
"35035","Otero County","New Mexico","804","65,616","Alamogordo, NM Micropolitan Statistical Area",""
"35037","Quay County","New Mexico","2551","8,662","",""
"35039","Rio Arriba County","New Mexico","1169","40,072","Española, NM Micropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
"35041","Roosevelt County","New Mexico","1840","19,955","Portales, NM Micropolitan Statistical Area","Clovis-Portales, NM Combined Statistical Area"
"35043","Sandoval County","New Mexico","458","136,575","Albuquerque, NM Metropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
"35045","San Juan County","New Mexico","485","126,503","Farmington, NM Metropolitan Statistical Area",""
"35047","San Miguel County","New Mexico","1469","28,541","Las Vegas, NM Micropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
"35049","Santa Fe County","New Mexico","433","147,423","Santa Fe, NM Metropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
"35051","Sierra County","New Mexico","2321","11,572","",""
"35053","Socorro County","New Mexico","1943","17,584","",""
"35055","Taos County","New Mexico","1352","33,035","Taos, NM Micropolitan Statistical Area",""
"35057","Torrance County","New Mexico","2062","15,717","Albuquerque, NM Metropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
"35059","Union County","New Mexico","2873","4,370","",""
"35061","Valencia County","New Mexico","720","76,284","Albuquerque, NM Metropolitan Statistical Area","Albuquerque-Santa Fe-Las Vegas, NM Combined Statistical Area"
"36001","Albany County","New York","214","306,945","Albany-Schenectady-Troy, NY Metropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
"36003","Allegany County","New York","1012","48,109","",""
"36005","Bronx County","New York","26","1,418,733","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"36007","Broome County","New York","325","197,534","Binghamton, NY Metropolitan Statistical Area",""
"36009","Cattaraugus County","New York","697","78,892","Olean, NY Micropolitan Statistical Area","Buffalo-Cheektowaga, NY Combined Statistical Area"
"36011","Cayuga County","New York","695","79,477","Auburn, NY Micropolitan Statistical Area","Syracuse-Auburn, NY Combined Statistical Area"
"36013","Chautauqua County","New York","473","133,080","Jamestown-Dunkirk-Fredonia, NY Micropolitan Statistical Area",""
"36015","Chemung County","New York","645","88,506","Elmira, NY Metropolitan Statistical Area","Elmira-Corning, NY Combined Statistical Area"
"36017","Chenango County","New York","991","49,503","",""
"36019","Clinton County","New York","679","81,591","Plattsburgh, NY Micropolitan Statistical Area",""
"36021","Columbia County","New York","840","62,243","Hudson, NY Micropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
"36023","Cortland County","New York","1000","48,976","Cortland, NY Micropolitan Statistical Area","Ithaca-Cortland, NY Combined Statistical Area"
"36025","Delaware County","New York","1032","46,722","",""
"36027","Dutchess County","New York","225","296,916","New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area","New York-Newark, NY-NJ-CT-PA Combined Statistical Area"
"36029","Erie County","New York","56","919,866","Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area","Buffalo-Cheektowaga, NY Combined Statistical Area"
"36031","Essex County","New York","1199","38,762","",""
"36033","Franklin County","New York","959","51,688","Malone, NY Micropolitan Statistical Area",""
"36035","Fulton County","New York","917","54,586","Gloversville, NY Micropolitan Statistical Area","Albany-Schenectady, NY Combined Statistical Area"
