"INCITS","County or equivalent","State or district","Pop Rank","2013 Pop","Core Based Statistical Area","Combined Statistical Area"
"19113","Linn County","Iowa","291","216,111","Cedar Rapids, IA Metropolitan Statistical Area","Cedar Rapids-Iowa City, IA Combined Statistical Area"
"19115","Louisa County","Iowa","2338","11,282","",""
"19117","Lucas County","Iowa","2541","8,746","",""
"19119","Lyon County","Iowa","2312","11,712","",""
"19121","Madison County","Iowa","2077","15,448","Des Moines-West Des Moines, IA Metropolitan Statistical Area","Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
"19123","Mahaska County","Iowa","1713","22,417","Oskaloosa, IA Micropolitan Statistical Area",""
"19125","Marion County","Iowa","1345","33,252","",""
"19127","Marshall County","Iowa","1152","40,994","Marshalltown, IA Micropolitan Statistical Area",""
"19129","Mills County","Iowa","2114","14,896","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area","Omaha-Council Bluffs-Fremont, NE-IA Combined Statistical Area"
"19131","Mitchell County","Iowa","2380","10,709","",""
"19133","Monona County","Iowa","2508","9,121","",""
"19135","Monroe County","Iowa","2600","8,012","",""
"19137","Montgomery County","Iowa","2400","10,424","",""
"19139","Muscatine County","Iowa","1115","42,836","Muscatine, IA Micropolitan Statistical Area","Davenport-Moline, IA-IL Combined Statistical Area"
"19141","O'Brien County","Iowa","2169","14,044","",""
"19143","Osceola County","Iowa","2741","6,211","",""
"19145","Page County","Iowa","2063","15,713","",""
"19147","Palo Alto County","Iowa","2503","9,185","",""
"19149","Plymouth County","Iowa","1609","24,957","Sioux City, IA-NE-SD Metropolitan Statistical Area","Sioux City-Vermillion, IA-SD-NE Combined Statistical Area"
"19151","Pocahontas County","Iowa","2666","7,154","",""
"19153","Polk County","Iowa","148","451,677","Des Moines-West Des Moines, IA Metropolitan Statistical Area","Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
"19155","Pottawattamie County","Iowa","626","92,728","Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area","Omaha-Council Bluffs-Fremont, NE-IA Combined Statistical Area"
"19157","Poweshiek County","Iowa","1890","18,601","",""
"19159","Ringgold County","Iowa","2834","5,072","",""
"19161","Sac County","Iowa","2433","10,071","",""
"19163","Scott County","Iowa","368","170,385","Davenport-Moline-Rock Island, IA-IL Metropolitan Statistical Area","Davenport-Moline, IA-IL Combined Statistical Area"
"19165","Shelby County","Iowa","2299","11,961","",""
"19167","Sioux County","Iowa","1311","34,547","",""
"19169","Story County","Iowa","629","92,406","Ames, IA Metropolitan Statistical Area","Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
"19171","Tama County","Iowa","1945","17,576","",""
"19173","Taylor County","Iowa","2747","6,161","",""
"19175","Union County","Iowa","2264","12,583","",""
"19177","Van Buren County","Iowa","2646","7,436","",""
"19179","Wapello County","Iowa","1296","35,391","Ottumwa, IA Micropolitan Statistical Area",""
"19181","Warren County","Iowa","1024","47,336","Des Moines-West Des Moines, IA Metropolitan Statistical Area","Des Moines-Ames-West Des Moines, IA Combined Statistical Area"
"19183","Washington County","Iowa","1733","22,015","Iowa City, IA Metropolitan Statistical Area","Cedar Rapids-Iowa City, IA Combined Statistical Area"
"19185","Wayne County","Iowa","2728","6,402","",""
"19187","Webster County","Iowa","1246","37,044","Fort Dodge, IA Micropolitan Statistical Area",""
"19189","Winnebago County","Iowa","2392","10,554","",""
"19191","Winneshiek County","Iowa","1777","20,994","",""
"19193","Woodbury County","Iowa","575","102,130","Sioux City, IA-NE-SD Metropolitan Statistical Area","Sioux City-Vermillion, IA-SD-NE Combined Statistical Area"
"19195","Worth County","Iowa","2639","7,541","Mason City, IA Micropolitan Statistical Area",""
"19197","Wright County","Iowa","2238","12,972","",""
"20001","Allen County","Kansas","2231","13,124","",""
"20003","Anderson County","Kansas","2607","7,897","",""
"20005","Atchison County","Kansas","1995","16,749","Atchison, KS Micropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
"20007","Barber County","Kansas","2840","4,947","",""
"20009","Barton County","Kansas","1514","27,509","Great Bend, KS Micropolitan Statistical Area",""
"20011","Bourbon County","Kansas","2117","14,852","",""
"20013","Brown County","Kansas","2441","9,997","",""
"20015","Butler County","Kansas","803","65,803","Wichita, KS Metropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
"20017","Chase County","Kansas","2996","2,700","",""
"20019","Chautauqua County","Kansas","2938","3,552","",""
"20021","Cherokee County","Kansas","1779","20,978","",""
"20023","Cheyenne County","Kansas","2997","2,694","",""
"20025","Clark County","Kansas","3036","2,193","",""
"20027","Clay County","Kansas","2572","8,406","",""
"20029","Cloud County","Kansas","2492","9,292","",""
"20031","Coffey County","Kansas","2571","8,412","",""
"20033","Comanche County","Kansas","3055","1,955","",""
"20035","Cowley County","Kansas","1269","36,204","Arkansas City-Winfield, KS Micropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
"20037","Crawford County","Kansas","1188","39,278","Pittsburg, KS Micropolitan Statistical Area",""
"20039","Decatur County","Kansas","2982","2,930","",""
"20041","Dickinson County","Kansas","1850","19,609","",""
"20043","Doniphan County","Kansas","2609","7,851","St. Joseph, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
"20045","Douglas County","Kansas","532","114,322","Lawrence, KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
"20047","Edwards County","Kansas","2981","2,945","",""
"20049","Elk County","Kansas","2999","2,655","",""
"20051","Ellis County","Kansas","1451","29,061","Hays, KS Micropolitan Statistical Area",""
"20053","Ellsworth County","Kansas","2729","6,398","",""
"20055","Finney County","Kansas","1244","37,098","Garden City, KS Micropolitan Statistical Area",""
"20057","Ford County","Kansas","1305","34,819","Dodge City, KS Micropolitan Statistical Area",""
"20059","Franklin County","Kansas","1571","25,740","Ottawa, KS Micropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
"20061","Geary County","Kansas","1239","37,384","Junction City, KS Micropolitan Statistical Area","Manhattan-Junction City, KS Combined Statistical Area"
"20063","Gove County","Kansas","2989","2,769","",""
"20065","Graham County","Kansas","3003","2,593","",""
"20067","Grant County","Kansas","2602","7,950","",""
"20069","Gray County","Kansas","2757","6,009","",""
"20071","Greeley County","Kansas","3094","1,290","",""
"20073","Greenwood County","Kansas","2726","6,424","",""
"20075","Hamilton County","Kansas","3001","2,609","",""
"20077","Harper County","Kansas","2773","5,860","",""
"20079","Harvey County","Kansas","1307","34,741","Wichita, KS Metropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
"20081","Haskell County","Kansas","2895","4,141","",""
"20083","Hodgeman County","Kansas","3056","1,950","",""
"20085","Jackson County","Kansas","2220","13,366","Topeka, KS Metropolitan Statistical Area",""
"20087","Jefferson County","Kansas","1879","18,813","Topeka, KS Metropolitan Statistical Area",""
"20089","Jewell County","Kansas","2974","3,046","",""
"20091","Johnson County","Kansas","110","566,933","Kansas City, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
"20093","Kearny County","Kansas","2911","3,923","Garden City, KS Micropolitan Statistical Area",""
"20095","Kingman County","Kansas","2610","7,844","Wichita, KS Metropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
"20097","Kiowa County","Kansas","3008","2,523","",""
"20099","Labette County","Kansas","1785","20,916","Parsons, KS Micropolitan Statistical Area",""
"20101","Lane County","Kansas","3073","1,720","",""
"20103","Leavenworth County","Kansas","702","78,185","Kansas City, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
"20105","Lincoln County","Kansas","2961","3,147","",""
"20107","Linn County","Kansas","2470","9,516","Kansas City, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
"20109","Logan County","Kansas","2988","2,798","",""
"20111","Lyon County","Kansas","1338","33,510","Emporia, KS Micropolitan Statistical Area",""
"20113","McPherson County","Kansas","1438","29,569","McPherson, KS Micropolitan Statistical Area",""
"20115","Marion County","Kansas","2286","12,219","",""
"20117","Marshall County","Kansas","2440","10,002","",""
"20119","Meade County","Kansas","2877","4,343","",""
"20121","Miami County","Kansas","1362","32,835","Kansas City, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
"20123","Mitchell County","Kansas","2732","6,378","",""
"20125","Montgomery County","Kansas","1322","34,292","Coffeyville, KS Micropolitan Statistical Area",""
"20127","Morris County","Kansas","2784","5,741","",""
"20129","Morton County","Kansas","2962","3,143","",""
"20131","Nemaha County","Kansas","2425","10,161","",""
"20133","Neosho County","Kansas","2017","16,430","",""
"20135","Ness County","Kansas","2972","3,073","",""
"20137","Norton County","Kansas","2793","5,622","",""
"20139","Osage County","Kansas","2037","16,142","Topeka, KS Metropolitan Statistical Area",""
"20141","Osborne County","Kansas","2919","3,818","",""
"20143","Ottawa County","Kansas","2753","6,042","Salina, KS Micropolitan Statistical Area",""
"20145","Pawnee County","Kansas","2687","6,971","",""
"20147","Phillips County","Kansas","2802","5,540","",""
"20149","Pottawatomie County","Kansas","1700","22,691","Manhattan, KS Metropolitan Statistical Area","Manhattan-Junction City, KS Combined Statistical Area"
"20151","Pratt County","Kansas","2452","9,878","",""
"20153","Rawlins County","Kansas","3005","2,589","",""
"20155","Reno County","Kansas","816","64,190","Hutchinson, KS Micropolitan Statistical Area",""
"20157","Republic County","Kansas","2850","4,820","",""
"20159","Rice County","Kansas","2438","10,011","",""
"20161","Riley County","Kansas","730","75,394","Manhattan, KS Metropolitan Statistical Area","Manhattan-Junction City, KS Combined Statistical Area"
"20163","Rooks County","Kansas","2826","5,190","",""
"20165","Rush County","Kansas","2960","3,186","",""
"20167","Russell County","Kansas","2689","6,933","",""
"20169","Saline County","Kansas","906","55,740","Salina, KS Micropolitan Statistical Area",""
"20171","Scott County","Kansas","2837","5,035","",""
"20173","Sedgwick County","Kansas","132","505,415","Wichita, KS Metropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
"20175","Seward County","Kansas","1668","23,390","Liberal, KS Micropolitan Statistical Area",""
"20177","Shawnee County","Kansas","356","178,831","Topeka, KS Metropolitan Statistical Area",""
"20179","Sheridan County","Kansas","3006","2,553","",""
"20181","Sherman County","Kansas","2750","6,115","",""
"20183","Smith County","Kansas","2925","3,706","",""
"20185","Stafford County","Kansas","2874","4,359","",""
"20187","Stanton County","Kansas","3035","2,194","",""
"20189","Stevens County","Kansas","2779","5,816","",""
"20191","Sumner County","Kansas","1659","23,591","Wichita, KS Metropolitan Statistical Area","Wichita-Arkansas City-Winfield, KS Combined Statistical Area"
"20193","Thomas County","Kansas","2603","7,948","",""
"20195","Trego County","Kansas","2980","2,980","",""
"20197","Wabaunsee County","Kansas","2678","7,051","Topeka, KS Metropolitan Statistical Area",""
"20199","Wallace County","Kansas","3079","1,569","",""
"20201","Washington County","Kansas","2792","5,629","",""
"20203","Wichita County","Kansas","3037","2,192","",""
"20205","Wilson County","Kansas","2510","9,105","",""
"20207","Woodson County","Kansas","2955","3,221","",""
"20209","Wyandotte County","Kansas","395","160,384","Kansas City, MO-KS Metropolitan Statistical Area","Kansas City-Overland Park-Kansas City, MO-KS Combined Statistical Area"
"21001","Adair County","Kentucky","1885","18,732","",""
"21003","Allen County","Kentucky","1825","20,311","Bowling Green, KY Metropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
"21005","Anderson County","Kentucky","1742","21,811","Frankfort, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
"21007","Ballard County","Kentucky","2580","8,332","Paducah, KY-IL Micropolitan Statistical Area","Paducah-Mayfield, KY-IL Combined Statistical Area"
"21009","Barren County","Kentucky","1111","43,027","Glasgow, KY Micropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
"21011","Bath County","Kentucky","2299","11,961","Mount Sterling, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
"21013","Bell County","Kentucky","1500","27,885","Middlesborough, KY Micropolitan Statistical Area",""
"21015","Boone County","Kentucky","498","124,442","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
"21017","Bourbon County","Kentucky","1839","19,998","Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
"21019","Boyd County","Kentucky","1002","48,886","Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area","Charleston-Huntington-Ashland, WV-OH-KY Combined Statistical Area"
"21021","Boyle County","Kentucky","1453","29,013","Danville, KY Micropolitan Statistical Area",""
"21023","Bracken County","Kentucky","2569","8,416","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
"21025","Breathitt County","Kentucky","2206","13,545","",""
"21027","Breckinridge County","Kentucky","1838","20,040","",""
"21029","Bullitt County","Kentucky","711","76,854","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
"21031","Butler County","Kentucky","2251","12,793","Bowling Green, KY Metropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
"21033","Caldwell County","Kentucky","2250","12,823","",""
"21035","Calloway County","Kentucky","1229","37,657","Murray, KY Micropolitan Statistical Area",""
"21037","Campbell County","Kentucky","633","90,988","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
"21039","Carlisle County","Kentucky","2839","5,001","",""
"21041","Carroll County","Kentucky","2361","10,953","",""
"21043","Carter County","Kentucky","1524","27,202","",""
"21045","Casey County","Kentucky","2043","16,067","",""
"21047","Christian County","Kentucky","734","74,167","Clarksville, TN-KY Metropolitan Statistical Area",""
"21049","Clark County","Kentucky","1288","35,614","Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
"21051","Clay County","Kentucky","1757","21,364","",""
"21053","Clinton County","Kentucky","2429","10,146","",""
"21055","Crittenden County","Kentucky","2496","9,255","",""
"21057","Cumberland County","Kentucky","2701","6,789","",""
"21059","Daviess County","Kentucky","598","98,218","Owensboro, KY Metropolitan Statistical Area",""
"21061","Edmonson County","Kentucky","2295","12,062","Bowling Green, KY Metropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
"21063","Elliott County","Kentucky","2628","7,637","",""
"21065","Estill County","Kentucky","2139","14,488","",""
"21067","Fayette County","Kentucky","211","308,428","Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
"21069","Fleming County","Kentucky","2137","14,508","",""
"21071","Floyd County","Kentucky","1200","38,728","",""
"21073","Franklin County","Kentucky","989","49,648","Frankfort, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
"21075","Fulton County","Kentucky","2731","6,385","Union City, TN-KY Micropolitan Statistical Area","Martin-Union City, TN-KY Combined Statistical Area"
"21077","Gallatin County","Kentucky","2564","8,474","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
"21079","Garrard County","Kentucky","1987","16,915","",""
"21081","Grant County","Kentucky","1616","24,753","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
"21083","Graves County","Kentucky","1235","37,451","Mayfield, KY Micropolitan Statistical Area","Paducah-Mayfield, KY-IL Combined Statistical Area"
"21085","Grayson County","Kentucky","1564","25,997","",""
"21087","Green County","Kentucky","2347","11,180","",""
"21089","Greenup County","Kentucky","1260","36,519","Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area","Charleston-Huntington-Ashland, WV-OH-KY Combined Statistical Area"
"21091","Hancock County","Kentucky","2547","8,687","Owensboro, KY Metropolitan Statistical Area",""
"21093","Hardin County","Kentucky","552","108,191","Elizabethtown-Fort Knox, KY Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
"21095","Harlan County","Kentucky","1471","28,499","",""
"21097","Harrison County","Kentucky","1893","18,518","",""
"21099","Hart County","Kentucky","1891","18,573","",""
"21101","Henderson County","Kentucky","1042","46,347","Evansville, IN-KY Metropolitan Statistical Area",""
"21103","Henry County","Kentucky","2078","15,445","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
"21105","Hickman County","Kentucky","2855","4,745","",""
"21107","Hopkins County","Kentucky","1033","46,634","Madisonville, KY Micropolitan Statistical Area",""
"21109","Jackson County","Kentucky","2215","13,427","",""
"21111","Jefferson County","Kentucky","78","756,832","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
"21113","Jessamine County","Kentucky","978","50,173","Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
"21115","Johnson County","Kentucky","1665","23,449","",""
"21117","Kenton County","Kentucky","389","163,145","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
"21119","Knott County","Kentucky","2048","15,976","",""
"21121","Knox County","Kentucky","1392","31,790","London, KY Micropolitan Statistical Area",""
"21123","LaRue County","Kentucky","2167","14,064","Elizabethtown-Fort Knox, KY Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
"21125","Laurel County","Kentucky","870","59,563","London, KY Micropolitan Statistical Area",""
"21127","Lawrence County","Kentucky","2053","15,856","",""
"21129","Lee County","Kentucky","2654","7,260","",""
"21131","Leslie County","Kentucky","2357","11,019","",""
"21133","Letcher County","Kentucky","1657","23,619","",""
"21135","Lewis County","Kentucky","2186","13,806","",""
"21137","Lincoln County","Kentucky","1629","24,370","Danville, KY Micropolitan Statistical Area",""
"21139","Livingston County","Kentucky","2482","9,359","Paducah, KY-IL Micropolitan Statistical Area","Paducah-Mayfield, KY-IL Combined Statistical Area"
"21141","Logan County","Kentucky","1538","26,876","",""
"21143","Lyon County","Kentucky","2568","8,451","",""
"21145","McCracken County","Kentucky","806","65,373","Paducah, KY-IL Micropolitan Statistical Area","Paducah-Mayfield, KY-IL Combined Statistical Area"
"21147","McCreary County","Kentucky","1918","17,989","",""
"21149","McLean County","Kentucky","2471","9,496","Owensboro, KY Metropolitan Statistical Area",""
"21151","Madison County","Kentucky","663","85,590","Richmond-Berea, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
"21153","Magoffin County","Kentucky","2240","12,950","",""
"21155","Marion County","Kentucky","1837","20,045","",""
"21157","Marshall County","Kentucky","1411","31,107","",""
"21159","Martin County","Kentucky","2262","12,647","",""
"21161","Mason County","Kentucky","1967","17,278","Maysville, KY Micropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
"21163","Meade County","Kentucky","1446","29,210","Elizabethtown-Fort Knox, KY Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
"21165","Menifee County","Kentucky","2739","6,288","Mount Sterling, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
"21167","Mercer County","Kentucky","1759","21,349","",""
"21169","Metcalfe County","Kentucky","2445","9,983","Glasgow, KY Micropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
"21171","Monroe County","Kentucky","2383","10,681","",""
"21173","Montgomery County","Kentucky","1521","27,251","Mount Sterling, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
"21175","Morgan County","Kentucky","2218","13,380","",""
"21177","Muhlenberg County","Kentucky","1407","31,179","",""
"21179","Nelson County","Kentucky","1077","44,540","Bardstown, KY Micropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
"21181","Nicholas County","Kentucky","2680","7,039","",""
"21183","Ohio County","Kentucky","1644","23,988","",""
"21185","Oldham County","Kentucky","835","62,364","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
"21187","Owen County","Kentucky","2384","10,662","",""
"21189","Owsley County","Kentucky","2858","4,654","",""
"21191","Pendleton County","Kentucky","2134","14,570","Cincinnati, OH-KY-IN Metropolitan Statistical Area","Cincinnati-Wilmington-Maysville, OH-KY-IN Combined Statistical Area"
"21193","Perry County","Kentucky","1492","28,010","",""
"21195","Pike County","Kentucky","824","63,380","",""
"21197","Powell County","Kentucky","2271","12,494","",""
"21199","Pulaski County","Kentucky","821","63,907","Somerset, KY Micropolitan Statistical Area",""
"21201","Robertson County","Kentucky","3033","2,235","",""
"21203","Rockcastle County","Kentucky","1997","16,693","Richmond-Berea, KY Micropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
"21205","Rowan County","Kentucky","1662","23,527","",""
"21207","Russell County","Kentucky","1933","17,752","",""
"21209","Scott County","Kentucky","980","49,947","Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
"21211","Shelby County","Kentucky","1084","44,216","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
"21213","Simpson County","Kentucky","1927","17,793","",""
"21215","Spencer County","Kentucky","1939","17,637","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
"21217","Taylor County","Kentucky","1619","24,649","Campbellsville, KY Micropolitan Statistical Area",""
"21219","Todd County","Kentucky","2270","12,503","",""
"21221","Trigg County","Kentucky","2151","14,293","Clarksville, TN-KY Metropolitan Statistical Area",""
"21223","Trimble County","Kentucky","2534","8,816","Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","Louisville/Jefferson County–Elizabethtown–Madison, KY-IN Combined Statistical Area"
"21225","Union County","Kentucky","2104","15,029","",""
"21227","Warren County","Kentucky","517","118,370","Bowling Green, KY Metropolitan Statistical Area","Bowling Green-Glasgow, KY Combined Statistical Area"
"21229","Washington County","Kentucky","2307","11,875","",""
"21231","Wayne County","Kentucky","1794","20,678","",""
"21233","Webster County","Kentucky","2213","13,452","",""
"21235","Whitley County","Kentucky","1279","35,766","London, KY Micropolitan Statistical Area",""
"21237","Wolfe County","Kentucky","2657","7,248","",""
"21239","Woodford County","Kentucky","1598","25,275","Lexington-Fayette, KY Metropolitan Statistical Area","Lexington-Fayette–Richmond–Frankfort, KY Combined Statistical Area"
"22001","Acadia Parish","Louisiana","841","62,204","Lafayette, LA Metropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
"22003","Allen Parish","Louisiana","1582","25,537","",""
"22005","Ascension Parish","Louisiana","531","114,393","Baton Rouge, LA Metropolitan Statistical Area",""
"22007","Assumption Parish","Louisiana","1681","23,187","",""
"22009","Avoyelles Parish","Louisiana","1143","41,299","",""
"22011","Beauregard Parish","Louisiana","1270","36,167","DeRidder, LA Micropolitan Statistical Area","DeRidder-Fort Polk South, LA Combined Statistical Area"
"22013","Bienville Parish","Louisiana","2175","13,981","",""
"22015","Bossier Parish","Louisiana","499","123,823","Shreveport-Bossier City, LA Metropolitan Statistical Area",""
"22017","Caddo Parish","Louisiana","259","254,887","Shreveport-Bossier City, LA Metropolitan Statistical Area",""
"22019","Calcasieu Parish","Louisiana","331","195,296","Lake Charles, LA Metropolitan Statistical Area",""
"22021","Caldwell Parish","Louisiana","2443","9,989","",""
"22023","Cameron Parish","Louisiana","2704","6,744","Lake Charles, LA Metropolitan Statistical Area",""
"22025","Catahoula Parish","Louisiana","2419","10,238","",""
"22027","Claiborne Parish","Louisiana","2000","16,650","",""
"22029","Concordia Parish","Louisiana","1814","20,442","Natchez, MS-LA Micropolitan Statistical Area",""
"22031","De Soto Parish","Louisiana","1530","27,083","Shreveport-Bossier City, LA Metropolitan Statistical Area",""
"22033","East Baton Rouge Parish","Louisiana","151","445,227","Baton Rouge, LA Metropolitan Statistical Area",""
"22035","East Carroll Parish","Louisiana","2640","7,529","",""
"22037","East Feliciana Parish","Louisiana","1846","19,728","Baton Rouge, LA Metropolitan Statistical Area",""
"22039","Evangeline Parish","Louisiana","1337","33,578","",""
"22041","Franklin Parish","Louisiana","1803","20,571","",""
"22043","Grant Parish","Louisiana","1732","22,030","Alexandria, LA Metropolitan Statistical Area",""
"22045","Iberia Parish","Louisiana","738","73,878","Lafayette, LA Metropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
"22047","Iberville Parish","Louisiana","1342","33,367","Baton Rouge, LA Metropolitan Statistical Area",""
"22049","Jackson Parish","Louisiana","2040","16,112","",""
"22051","Jefferson Parish","Louisiana","159","434,767","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
"22053","Jefferson Davis Parish","Louisiana","1404","31,301","",""
"22055","Lafayette Parish","Louisiana","279","230,845","Lafayette, LA Metropolitan Statistical Area","Lafayette-Opelousas-Morgan City, LA Combined Statistical Area"
"22057","Lafourche Parish","Louisiana","602","97,141","Houma-Thibodaux, LA Metropolitan Statistical Area",""
"22059","LaSalle Parish","Louisiana","2121","14,777","",""
"22061","Lincoln Parish","Louisiana","1022","47,414","Ruston, LA Micropolitan Statistical Area","Monroe-Ruston-Bastrop, LA Combined Statistical Area"
"22063","Livingston Parish","Louisiana","471","134,053","Baton Rouge, LA Metropolitan Statistical Area",""
"22065","Madison Parish","Louisiana","2305","11,927","",""
"22067","Morehouse Parish","Louisiana","1532","27,057","Bastrop, LA Micropolitan Statistical Area","Monroe-Ruston-Bastrop, LA Combined Statistical Area"
"22069","Natchitoches Parish","Louisiana","1197","39,138","Natchitoches, LA Micropolitan Statistical Area",""
"22071","Orleans Parish","Louisiana","176","378,715","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
"22073","Ouachita Parish","Louisiana","403","156,220","Monroe, LA Metropolitan Statistical Area","Monroe-Ruston-Bastrop, LA Combined Statistical Area"
"22075","Plaquemines Parish","Louisiana","1660","23,550","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
"22077","Pointe Coupee Parish","Louisiana","1709","22,499","Baton Rouge, LA Metropolitan Statistical Area",""
"22079","Rapides Parish","Louisiana","475","132,723","Alexandria, LA Metropolitan Statistical Area",""
"22081","Red River Parish","Louisiana","2529","8,894","",""
"22083","Richland Parish","Louisiana","1788","20,857","",""
"22085","Sabine Parish","Louisiana","1634","24,235","",""
"22087","St. Bernard Parish","Louisiana","1099","43,482","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
"22089","St. Charles Parish","Louisiana","944","52,617","New Orleans-Metairie, LA Metropolitan Statistical Area","New Orleans-Metairie-Hammond, LA-MS Combined Statistical Area"
"22091","St. Helena Parish","Louisiana","2369","10,875","Baton Rouge, LA Metropolitan Statistical Area",""
